bangmok_id,sillok_id
G002+AKS-KHF_12AD8CC9C0FFFFB1656X0,M_0000188
G002+AKS-KHF_12AD8CC9C0FFFFU9999X0,M_0000189
G002+AKS-KHF_12AD8CC9C4FFFFB1572X0,M_0000191
G002+AKS-KHF_12AD8CC9D1FFFFB1569X0,M_0000193
G002+AKS-KHF_12AD8CC9D1FFFFB1600X0,M_0000194
G002+AKS-KHF_12AD8CC9D1FFFFB1696X0,M_0000195
G002+AKS-KHF_12AD8CCC2CFFFFD1560X0,M_0000200
G002+AKS-KHF_12AD8CCC44FFFFB1399X0,M_0000201
G002+AKS-KHF_12AD8CCCA0FFFFB1503X0,M_0000202
G002+AKS-KHF_12AD8CCCA9FFFFB1573X0,M_0000203
G002+AKS-KHF_12AD8CD574FFFFB1639X0,M_0000206
G002+AKS-KHF_12AD8CD601FFFFB1694X0,M_0000207
G002+AKS-KHF_12AD8CD611FFFFB1553X0,M_0000208
G002+AKS-KHF_12AD8CD638FFFFB1655X0,M_0000209
G002+AKS-KHF_12AD8CD655FFFFB1568X0,M_0000210
G002+AKS-KHF_12AE40B2F4FFFFB1416X0,M_0000254
G002+AKS-KHF_12AD8CD658FFFFB1636X0,M_0000211
G002+AKS-KHF_12AD8CD68CFFFFB1769X0,M_0000212
G002+AKS-KHF_12AD8CD754FFFFB1568X0,M_0000213
G002+AKS-KHF_12AD8CD760FFFFB1644X0,M_0000214
G002+AKS-KHF_12AD8CD76CFFFFB1547X0,M_0000215
G002+AKS-KHF_12AE30CC2CFFFFB1424X0,M_0000217
G002+AKS-KHF_12AE30D611FFFFB1572X0,M_0000218
G002+AKS-KHF_12AE30D615FFFFU9999X0,M_0000219
G002+AKS-KHF_12AE38ACB8FFFFB1525X0,M_0000220
G002+AKS-KHF_12AE40AC04FFFFB1653X0,M_0000224
G002+AKS-KHF_12AE40C6D0FFFFB1527X0,M_0000303
G002+AKS-KHF_12AE40AC10FFFFB1466X0,M_0000226
G002+AKS-KHF_12AE40AC10FFFFB1566X0,M_0000227
G002+AKS-KHF_12AE40AC1CFFFFB1504X0,M_0000230
G002+AKS-KHF_12AE40AC1CFFFFB1582X0,M_0000231
G002+AKS-KHF_12AE40ACBDFFFFB1583X0,M_0000232
G002+AKS-KHF_12AE40ACC4FFFFB1528X0,M_0000233
G002+AKS-KHF_12AE40ACE0FFFFB1670X0,M_0000234
G002+AKS-KHF_12AE40AD00FFFFB1525X0,M_0000235
G002+AKS-KHF_12AE40AD34FFFFB1450X0,M_0000236
G002+AKS-KHF_12AE40AD6CFFFFB1488X0,M_0000239
G002+AKS-KHF_13AD8CC601C2B9B1865X0,M_0001219
G002+AKS-KHF_12AE40AD6CFFFFB1649X0,M_0000240
G002+AKS-KHF_12AE40AD6CFFFFB1383X0,M_0000241
G002+AKS-KHF_12AE40AD6CFFFFU9999X0,M_0000242
G002+AKS-KHF_12AE40AD8CFFFFB1549X0,M_0000243
G002+AKS-KHF_12AE40AD8CFFFFB1693X0,M_0000244
G002+AKS-KHF_12AE40ADDCFFFFB1522X0,M_0000245
G002+AKS-KHF_12AE40AE30FFFFB1509X0,M_0000247
G002+AKS-KHF_12AE40AE30FFFFD1535X0,M_0000249
G002+AKS-KHF_12AE40B85CFFFFB1498X0,M_0000251
G002+AKS-KHF_12AE40B274FFFFB1436X0,M_0000252
G002+AKS-KHF_12AE40B2C8FFFFB1540X0,M_0000253
G002+AKS-KHF_13C774C138D604B1713X0,M_0004580
G002+AKS-KHF_12AE40B2F4FFFFB1678X0,M_0000255
G002+AKS-KHF_12AE40B2F9FFFFB1465X0,M_0000256
G002+AKS-KHF_12AE40B300FFFFB1679X0,M_0000259
G002+AKS-KHF_12AE40B300FFFFU9999X0,M_0000260
G002+AKS-KHF_12AE40B3C8FFFFB1385X0,M_0000261
G002+AKS-KHF_12AE40B824FFFFB1675X0,M_0000264
G002+AKS-KHF_12AE40B839FFFFB1577X0,M_0000266
G002+AKS-KHF_12AE40B9D0FFFFB1383X0,M_0000268
G002+AKS-KHF_12AE40B9F9FFFFB1410X0,M_0000269
G002+AKS-KHF_12AE40BB38FFFFD1448X0,M_0000271
G002+AKS-KHF_12AE40BBF8FFFFU9999X0,M_0000272
G002+AKS-KHF_12AE40C720FFFFB1775X0,M_0000306
G002+AKS-KHF_12AE40BC18FFFFB1580X0,M_0000273
G002+AKS-KHF_12AE40BC18FFFFU9999X0,M_0000274
G002+AKS-KHF_12AE40BC29FFFFB1706X0,M_0000275
G002+AKS-KHF_12AE40C0C1FFFFB1586X0,M_0000277
G002+AKS-KHF_12AE40C11DFFFFB1637X0,M_0000278
G002+AKS-KHF_12AE40C120FFFFB1750X0,M_0000280
G002+AKS-KHF_12AE40C124FFFFB1595X0,M_0000281
G002+AKS-KHF_12AE40C12CFFFFU9999X0,M_0000282
G002+AKS-KHF_12AE40C12DFFFFU9999X1,M_0000283
G002+AKS-KHF_12AE40C131FFFFB1772X0,M_0000284
G002+AKS-KHF_12AE40C18CFFFFB1602X0,M_0000285
G002+AKS-KHF_12C724ACB0FFFFB1517X0,M_0000339
G002+AKS-KHF_12AE40C218FFFFB1547X0,M_0000287
G002+AKS-KHF_12AE40C2DDFFFFB1482X0,M_0000290
G002+AKS-KHF_12AE40C2ECFFFFB1445X0,M_0000291
